Carimbo,Idade,Sexo,TempoDocencia,Graduacao,PosGraduacao,Instituicao,ED1,ED2,ED3,ED4,EE1,EE2,EE3,EE4,IS1,IS2,IS3,CF1,CF2,CF3,CF4,MH1,MH2,MH3,PR1,PR2,PR3,HA1,HA2,HA3,HA4,IC1,IC2,IC3,UsoR,UsoTinkerplots,UsoFathom,UsoExcel,UsoSPSS,UsoCODAP,UsoMinitab,UsoPython,UsoSigmaplot,UsoPSPP,UsoOutros1,Outros1,UsoOutros2,Outros2,UsoOutros3,Outros3
21/11/2023 17:51:59,44,Masculino,20,"Agronomia, Matemática, Física",Sim,Universidade Federal de Alfenas,5,5,5,5,5,5,5,5,5,5,5,1,5,5,3,5,5,5,3,3,3,5,1,5,5,5,5,5,5,1,1,2,1,1,1,1,1,1,,,,,,
22/11/2023 12:08:07,44,Feminino,20,ESTATÍSTICA,Não,UFPA,2,4,3,3,2,3,4,2,2,1,3,2,4,2,4,4,4,3,1,1,1,2,1,4,2,2,3,2,2,1,1,4,4,1,2,1,1,1,,,,,,
23/11/2023 17:37:57,44,Feminino,20,Estatística ,Não,UFRGS,5,5,5,5,4,5,5,4,5,4,4,4,5,5,5,5,5,5,5,5,4,5,1,5,5,5,5,5,5,1,1,5,4,1,2,2,1,1,,,,,,
12/12/2023 14:27:02,45,Feminino,2,Ciências Biológicas,Não,UFG,5,5,5,4,4,4,4,4,4,5,4,2,4,5,4,5,5,4,1,4,1,4,1,5,5,4,5,4,4,1,1,5,2,1,1,2,1,1,,,,,,
18/12/2023 22:33:55,45,Masculino,4,Engenharia Elétrica,Não,CEFET,5,4,3,5,5,5,5,5,5,5,4,4,5,5,3,3,5,3,2,4,4,3,1,5,3,5,4,5,1,1,1,5,1,1,1,3,1,1,5,Matlab,,,,
20/11/2023 22:04:58,45,Feminino,8,Economia ,Não,Unila,2,1,1,1,5,3,3,5,1,1,1,1,5,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
06/12/2023 19:30:42,45,Feminino,12,Estatística,Sim,UFLA,5,4,5,4,2,5,4,4,5,5,5,3,5,5,4,3,5,4,5,5,2,5,1,5,5,5,5,5,5,,,5,,,,,,,,,,,,
22/11/2023 20:36:17,45,Masculino,13,Estatística,Sim,PUC-Rio,4,3,1,1,4,4,4,5,3,3,3,2,5,5,4,3,4,3,3,3,3,2,1,4,3,3,2,3,1,1,1,3,2,1,2,1,1,1,3,EViews,,,,
28/11/2023 18:29:52,45,Feminino,19,Bacharelado em matemática,Sim,USP,5,4,5,5,4,4,4,4,5,5,5,1,5,4,4,4,5,4,2,5,1,5,1,5,4,5,5,5,5,1,1,5,2,1,2,2,1,1,,,,,,
21/11/2023 15:06:09,45,Masculino,20,Matemática,Sim,UFMG,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,3,2,2,5,3,5,5,5,5,5,5,1,1,5,2,1,2,4,1,1,3,Compilador para C++,3,Compilador para Fortran,4,Matlab
