Genero,Idade,Experiencia,ED1,ED2,ED3,ED4,EE1,EE2,EE3,EE4,IS1,IS2,IS3,CF1,CF2,CF3,CF4,MH1,MH2,MH3,PR1,PR2,PR3,HA1,HA2,HA3,HA4,IC1,IC2,IC3,USO1,USO2,USO3,USO
1,55,60,4,4,4,3,4,4,4,4,3,2,4,2,4,4,4,4,4,4,2,4,2,4,1,4,4,4,4,4,2,4,4,4
0,55,120,5,5,5,5,4,5,4,5,4,4,4,4,5,5,5,5,5,5,3,5,4,5,3,5,5,5,5,5,4,5,5,5
1,55,180,4,3,5,4,4,4,5,3,2,3,3,1,5,4,4,3,4,3,3,4,2,2,1,3,3,3,2,3,5,4,5,5
0,55,300,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,1,1,1,5,3,5,5,5,5,5,2,4,4,4
1,55,360,4,4,5,4,4,4,4,4,4,4,4,3,4,5,4,3,5,4,3,4,3,5,2,4,5,5,5,4,4,4,5,5
0,56,12,4,5,5,4,2,4,2,2,5,5,5,5,2,4,4,4,4,4,3,3,3,4,1,5,2,5,5,5,2,5,5,5
1,56,48,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5
1,56,216,5,4,4,4,5,4,4,5,1,1,4,2,4,5,5,5,5,5,5,4,4,5,3,5,5,5,5,5,4,5,5,5
0,56,240,5,3,5,5,5,5,5,5,3,3,3,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,4,1,5
1,56,276,5,5,5,5,5,5,5,3,5,5,5,3,5,5,4,5,5,5,3,5,3,5,1,5,5,5,5,5,1,4,5,5
0,56,312,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,4,5,5,3,3,3,5,1,5,5,5,5,5,5,3,5,5
1,56,384,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,5,5,4,4,4,5,5,5,5
1,57,240,5,4,5,5,5,5,5,5,5,4,5,3,5,5,5,5,4,5,5,5,4,5,1,5,5,5,5,5,5,3,5,5
0,57,396,5,3,5,5,5,4,3,5,5,5,5,3,5,5,5,3,5,5,3,3,3,5,1,5,5,5,5,5,5,1,4,5
1,57,408,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,3,3,3,5,3,5,5,5,5,5,4,1,4,4
1,58,300,4,3,4,4,3,4,4,4,2,2,2,3,4,5,5,4,4,5,2,2,2,4,2,4,4,5,5,4,4,4,3,4
1,58,300,5,4,4,5,5,4,4,4,4,5,4,1,4,4,3,5,5,5,3,3,3,5,1,5,5,5,5,5,1,1,5,5
1,58,312,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,2,5,5
1,58,396,5,1,1,4,5,5,4,5,3,3,3,1,5,5,4,3,5,3,5,5,5,5,1,5,5,5,5,5,5,1,4,5
1,58,408,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,2,2,1,5,1,5,5,5,5,5,5,1,2,5
1,58,420,1,1,1,3,5,3,4,4,1,1,1,1,5,3,5,1,5,5,1,1,1,4,1,4,3,4,1,4,4,1,4,4
0,59,24,2,2,2,2,4,4,1,4,1,5,1,1,4,4,5,2,4,2,2,1,1,4,2,4,4,4,4,4,4,2,5,5
1,59,240,5,4,5,5,4,5,4,5,5,4,5,4,4,5,5,4,5,5,5,5,3,5,4,5,5,5,5,5,4,4,5,5
0,59,384,5,5,4,5,5,5,5,5,1,3,5,1,5,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5,5,5,4,5
1,60,144,5,5,5,5,5,5,5,5,3,3,3,1,5,5,2,2,5,2,3,5,5,5,1,5,5,5,5,5,5,1,3,5
1,60,180,5,5,5,5,5,5,5,5,1,1,5,1,5,5,1,4,5,5,5,5,4,5,4,5,5,5,5,5,1,5,1,5
0,60,240,2,3,3,3,2,3,2,2,2,2,2,2,2,2,3,3,2,3,1,2,2,3,4,3,3,3,3,3,3,2,5,5
1,60,360,5,5,5,5,5,5,5,5,5,4,5,1,5,5,4,5,5,5,1,2,1,5,1,5,5,5,5,5,5,5,5,5
1,60,372,4,3,2,3,2,4,3,3,3,3,3,2,3,4,3,4,5,3,5,5,5,3,2,4,2,4,3,4,5,1,2,5
1,60,372,4,4,4,4,2,5,4,2,4,4,4,1,4,5,2,4,5,4,3,5,2,3,2,4,2,5,4,5,4,1,2,4
1,60,420,5,4,4,5,4,5,4,4,3,3,3,4,4,4,2,4,5,4,4,4,4,4,2,4,4,4,4,4,4,2,4,4
1,61,24,4,2,4,2,2,4,2,2,4,3,4,1,2,4,4,2,4,2,3,2,1,2,2,4,2,4,4,4,4,4,4,4
1,61,240,5,1,4,5,5,5,4,4,4,4,4,5,4,5,5,4,5,5,5,4,5,4,1,4,5,4,4,4,5,4,5,5
0,61,396,5,4,3,4,4,5,5,4,3,3,3,3,4,5,5,3,5,3,3,5,3,5,1,5,5,4,4,5,5,5,5,5
1,62,180,5,5,5,5,4,5,5,5,4,2,5,1,5,5,5,5,4,5,1,5,1,5,1,5,5,5,5,5,1,5,5,5
1,62,324,3,3,3,3,3,3,2,2,2,3,2,2,2,3,2,3,3,2,2,2,2,2,2,2,2,2,3,2,1,3,4,4
1,62,420,5,5,5,5,5,5,5,5,5,5,5,1,5,4,4,3,5,3,4,2,1,2,1,5,4,5,5,5,4,2,3,4
1,63,360,5,5,4,4,3,4,4,4,5,5,4,5,4,5,5,4,5,4,5,5,5,4,1,5,4,5,4,5,5,2,4,5
0,63,360,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,1,3,5
0,63,480,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,4,5,5,3,5,3,5,1,5,5,5,5,5,2,5,5,5
1,64,240,5,5,4,5,5,4,5,5,5,5,5,1,5,5,5,5,4,5,5,5,5,5,1,1,5,5,5,5,5,1,3,5
1,64,288,5,3,3,4,4,5,4,4,5,3,4,3,4,4,4,3,4,4,3,3,3,4,1,5,999,3,4,3,4,2,2,4
0,64,408,5,5,5,4,4,5,4,4,5,5,5,2,4,5,5,4,5,4,2,5,2,5,2,5,5,5,4,5,1,4,5,5
0,65,240,5,3,3,3,5,5,5,4,3,5,5,1,4,3,5,5,4,5,1,5,3,5,1,5,5,5,5,5,1,5,5,5
1,65,240,5,4,5,4,3,4,4,3,5,4,4,4,3,4,3,4,5,4,4,4,4,3,4,4,5,3,4,4,1,2,5,5
1,65,360,5,3,5,4,4,4,4,4,4,5,4,4,4,5,4,4,5,3,4,4,3,5,1,4,5,5,4,5,4,4,4,4
1,65,384,5,3,4,4,5,4,5,5,1,1,1,1,5,4,3,5,5,4,3,1,3,4,1,5,4,4,5,4,5,5,4,5
1,65,504,5,3,5,5,5,4,5,5,3,3,3,5,5,5,5,3,5,4,1,3,1,5,1,4,5,5,4,5,5,2,5,5
1,66,60,5,5,5,5,5,4,4,5,4,3,5,4,5,3,4,5,5,5,5,4,4,4,3,5,5,5,5,4,3,5,5,5
1,66,516,5,5,5,4,4,4,4,4,3,5,5,5,4,5,5,4,4,4,5,4,4,4,1,4,4,4,4,4,4,4,5,5
1,69,216,4,4,4,3,3,3,2,2,1,5,1,1,3,4,1,4,4,2,2,4,2,4,2,3,3,4,4,4,1,4,4,4
1,69,360,5,4,4,4,5,4,4,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,1,5,5,5,4,5,5,2,2,5
1,71,540,4,5,4,4,3,5,2,3,5,5,5,3,3,5,5,3,5,4,3,3,3,5,1,5,4,5,5,5,3,3,4,4
1,72,480,2,2,2,2,2,5,5,5,1,1,2,1,5,5,1,2,5,2,5,5,5,5,1,5,5,5,2,5,5,4,4,5
1,74,540,4,4,4,4,4,4,4,4,1,1,4,4,4,4,1,4,4,4,3,4,3,4,1,4,4,4,4,4,2,2,5,5
1,75,480,5,5,5,5,4,5,5,4,5,999,5,1,4,5,5,5,5,5,999,5,1,5,1,5,5,5,5,5,5,3,3,5
0,77,576,5,4,5,3,4,4,3,4,2,2,2,1,4,4,4,4,5,5,2,4,2,5,1,5,4,5,4,5,1,5,5,5
0,79,636,5,3,4,5,5,4,5,5,3,3,3,4,5,3,5,5,4,5,4,1,1,5,1,5,5,3,5,5,3,5,2,5
0,999,96,5,3,4,3,4,4,5,4,4,3,3,1,5,4,4,3,5,3,3,3,3,3,1,5,3,5,3,5,5,2,4,5
1,999,144,999,5,5,5,5,5,5,5,2,3,3,4,5,5,3,3,5,5,5,4,4,999,2,5,5,5,5,5,5,2,5,5
